ticket_id,customer_id,ticket_text,team,case_type,created_at
TKT80000,SUB101492,"Hello team, I would like to downgrade my monthly pack This is the second time I am writing.",Billing,reassigned,2026-08-01 14:52:00
TKT80001,SUB102145,"Hi, I want to change my plan before the next cycle My number is registered with you.",Plan_Change,standard,2026-08-02 13:38:00
TKT80002,SUB100550,"Hello team, I want to cancel my connection at the end of the month Thanks.",Retention,standard,2026-08-05 19:35:00
TKT80003,SUB102186,"Dear support, I inserted the new SIM but there is no service Awaiting your reply.",SIM_Activation,standard,2026-08-01 16:19:00
TKT80004,SUB102541,"Good morning, There is no signal at my home in Chennai My number is registered with you and my bill is also a problem",SIM_Activation,reassigned,2026-08-02 08:22:00
TKT80005,SUB101682,"Good morning, The refund for duplicate payment has not arrived Please respond quickly.",Billing,standard,2026-08-04 12:45:00
TKT80006,SUB101743,"Hi, Can I add an international pack to my plan Kindly resolve.",Billing,reassigned,2026-08-02 21:38:00
TKT80007,SUB103070,"Dear support, The refund for duplicate payment has not arrived Thanks and the signal is also a problem",Billing,noisy,2026-08-01 03:47:00
TKT80008,SUB101651,"Hi, I want to cancel my connection at the end of the month My number is registered with you.",Retention,standard,2026-08-04 22:14:00
TKT80009,SUB102172,"Hello team, Please switch my account from prepaid to postpaid Awaiting your reply.",Billing,reassigned,2026-08-04 03:37:00
TKT80010,SUB100579,Please help. Cancel my postpaid connection immediately My number is registered with you.,Retention,standard,2026-08-05 13:44:00
TKT80011,SUB101814,"Dear support, There is no signal at my home in Mumbai",Network,standard,2026-08-04 04:35:00
TKT80012,SUB100011,"Hello team, What plans do you have with more data Kindly resolve.",Plan_Change,standard,2026-08-03 23:04:00
TKT80013,SUB100800,"Hi, I was billed twice for the same recharge",Billing,standard,2026-08-04 21:21:00
TKT80014,SUB103060,Urgent: poor coverage inside my office building,Network,standard,2026-08-04 11:43:00
TKT80015,SUB102637,Urgent: There is a charge on my bill I do not recognise Please respond quickly.,Billing,standard,2026-08-04 07:16:00
