message_id,customer_id,message_text,true_sentiment,case_type,received_at
MSG60000,SUB999999,What time does the store in Delhi open on Sunday,Neutral,standard,2026-08-03 17:51:00
MSG60001,SUB101588,"Worst service I have ever had, I waited two hours and got nothing",Negative,standard,2026-08-05 00:25:00
MSG60002,SUB101026,"Best network I have used, thank you for the quick help",Positive,standard,2026-08-03 16:56:00
MSG60003,SUB999999,No internet for three days in Mumbai and not one person helped me,Negative,standard,2026-08-01 20:20:00
MSG60004,SUB100249,"Fast internet at a fair price, I am really pleased",Positive,standard,2026-08-01 15:10:00
MSG60005,SUB101557,Is the annual data offer still available,Neutral,standard,2026-08-04 21:14:00
MSG60006,SUB100121,"Fantastic experience, the festival offer was a great deal",Positive,standard,2026-08-05 16:41:00
MSG60007,SUB100059,I would like to change my monthly plan from next cycle,Neutral,standard,2026-08-01 23:35:00
MSG60008,SUB101410,"I love the new eSIM, activation was easy and quick",Positive,standard,2026-08-04 21:19:00
MSG60009,SUB103195,"Worst service I have ever had, I waited two hours and got nothing",Negative,standard,2026-08-04 21:03:00
MSG60010,SUB102834,I have been overcharged again on my bill and nobody will explain why,Negative,standard,2026-08-03 23:56:00
MSG60011,SUB100167,Call quality in Chennai is unacceptable for what I am paying,Negative,standard,2026-08-05 07:11:00
MSG60012,SUB102020,The signal is awful here and I am seriously thinking of porting out,Negative,standard,2026-08-02 14:11:00
MSG60013,SUB102060,"Worst service I have ever had, I waited two hours and got nothing",Negative,standard,2026-08-01 08:35:00
MSG60014,SUB100133,I would like to change my monthly plan from next cycle,Neutral,standard,2026-08-01 08:06:00
MSG60015,SUB100328,The signal is awful here and I am seriously thinking of porting out,Negative,standard,2026-08-05 18:31:00
MSG60016,SUB101648,"Great support today, the agent solved my problem in minutes",Positive,standard,2026-08-01 02:44:00
MSG60017,SUB100770,"The network is terrible in Kolkata, my calls drop every single day",Negative,standard,2026-08-01 17:52:00
MSG60018,SUB102098,Great. Another dropped call. Exactly what I needed today,Negative,hard,2026-08-05 02:39:00
MSG60019,SUB101883,I have been overcharged again on my bill and nobody will explain why,Negative,standard,2026-08-03 03:32:00
MSG60020,SUB101890,"Excellent coverage on my trip to Hyderabad, very satisfied",Positive,standard,2026-08-05 12:02:00
MSG60021,SUB101109,What time does the store in Kolkata open on Sunday,Neutral,standard,2026-08-01 09:06:00
MSG60022,SUB100147,Can you explain the charges on my last invoice,Neutral,standard,2026-08-02 20:23:00
MSG60023,SUB101448,Great. Another dropped call. Exactly what I needed today,Negative,hard,2026-08-02 09:10:00
MSG60024,SUB102814,No internet for three days in Hyderabad and not one person helped me,Negative,standard,2026-08-03 17:21:00
MSG60025,SUB102776,I have been overcharged again on my bill and nobody will explain why,Negative,standard,2026-08-02 13:57:00
MSG60026,SUB102779,"Slow internet, expensive plan, a terrible experience all round",Negative,standard,2026-08-01 21:23:00
MSG60027,SUB999999,Is the annual data offer still available,Neutral,standard,2026-08-01 10:22:00
MSG60028,SUB101265,"Excellent coverage on my trip to Mumbai, very satisfied",Positive,standard,2026-08-01 11:20:00
MSG60029,SUB102835,Call quality in Mumbai is unacceptable for what I am paying,Negative,standard,2026-08-05 05:18:00
MSG60030,SUB100104,"Excellent coverage on my trip to Pune, very satisfied",Positive,standard,2026-08-02 04:49:00
MSG60031,SUB101288,"Fast internet at a fair price, I am really pleased",Positive,standard,2026-08-01 05:09:00
MSG60032,SUB101486,I need to update the billing address on my account,Neutral,standard,2026-08-04 15:28:00
MSG60033,SUB101330,Please tell me how to activate international roaming for Pune,Neutral,standard,2026-08-01 03:09:00
MSG60034,SUB100535,"My data finished far too fast, I am very disappointed with this plan",Negative,standard,2026-08-04 15:53:00
MSG60035,SUB100788,"The network is terrible in Pune, my calls drop every single day",Negative,standard,2026-08-03 12:25:00
MSG60036,SUB100512,Is the annual data offer still available,Neutral,standard,2026-08-01 06:40:00
MSG60037,SUB102629,I would like to change my monthly plan from next cycle,Neutral,standard,2026-08-01 16:04:00
MSG60038,SUB100859,How do I transfer my number to a new SIM card,Neutral,standard,2026-08-02 13:31:00
MSG60039,SUB102984,I need to update the billing address on my account,Neutral,standard,2026-08-03 03:17:00
MSG60040,SUB100728,"I love the new eSIM, activation was easy and quick",Positive,standard,2026-08-01 05:14:00
MSG60041,SUB101183,"The new 5G in Pune is excellent, very happy with the speed",Positive,standard,2026-08-04 18:28:00
MSG60042,SUB102649,"Worst service I have ever had, I waited two hours and got nothing",Negative,standard,2026-08-01 04:29:00
MSG60043,SUB100028,The app works well and my bill was finally correct this month,Positive,standard,2026-08-02 05:07:00
MSG60044,SUB100931,I would like to change my monthly plan from next cycle,Neutral,standard,2026-08-04 12:42:00
MSG60045,SUB101828,I was worried about my bill but it turned out fine,Positive,hard,2026-08-05 22:26:00
MSG60046,SUB100996,How do I transfer my number to a new SIM card,Neutral,standard,2026-08-02 10:37:00
MSG60047,SUB100110,No internet for three days in Pune and not one person helped me,Negative,standard,2026-08-01 18:42:00
MSG60048,SUB100744,"Great support today, the agent solved my problem in minutes",Positive,standard,2026-08-02 04:36:00
MSG60049,SUB999999,No internet for three days in Chennai and not one person helped me,Negative,standard,2026-08-01 20:38:00
MSG60050,SUB101539,Call quality in Pune is unacceptable for what I am paying,Negative,standard,2026-08-05 01:47:00
MSG60051,SUB101839,"Great support today, the agent solved my problem in minutes",Positive,standard,2026-08-04 04:49:00
MSG60052,SUB101643,No internet for three days in Pune and not one person helped me,Negative,standard,2026-08-05 07:31:00
MSG60053,SUB100263,"I am extremely frustrated, my SIM activation has failed twice now",Negative,standard,2026-08-03 15:27:00
MSG60054,SUB100279,"Oh brilliant, no signal AGAIN, I just love paying for nothing",Negative,hard,2026-08-02 02:55:00
MSG60055,SUB102503,"I am extremely frustrated, my SIM activation has failed twice now",Negative,standard,2026-08-05 14:10:00
MSG60056,SUB101791,"Slow internet, expensive plan, a terrible experience all round",Negative,standard,2026-08-02 23:20:00
MSG60057,SUB103090,I have been overcharged again on my bill and nobody will explain why,Negative,standard,2026-08-03 04:16:00
MSG60058,SUB100495,The staff were not helpful at all,Negative,hard,2026-08-03 04:16:00
MSG60059,SUB101273,I have been overcharged again on my bill and nobody will explain why,Negative,standard,2026-08-04 06:15:00
MSG60060,SUB100637,I want to know my current data balance for this month,Neutral,standard,2026-08-04 03:04:00
MSG60061,SUB100199,I want to know my current data balance for this month,Neutral,standard,2026-08-05 07:42:00
MSG60062,SUB102425,"Fantastic experience, the festival offer was a great deal",Positive,standard,2026-08-05 18:32:00
MSG60063,SUB102726,Not the worst month I have had with you,Positive,hard,2026-08-04 20:48:00
MSG60064,SUB100504,Is the annual data offer still available,Neutral,standard,2026-08-04 05:44:00
MSG60065,SUB100665,I have been overcharged again on my bill and nobody will explain why,Negative,standard,2026-08-05 18:22:00
MSG60066,SUB100290,"The new 5G in Chennai is excellent, very happy with the speed",Positive,standard,2026-08-02 20:08:00
MSG60067,SUB102047,I would like to change my monthly plan from next cycle,Neutral,standard,2026-08-05 12:41:00
MSG60068,SUB100085,The signal is awful here and I am seriously thinking of porting out,Negative,standard,2026-08-02 22:58:00
MSG60069,SUB101385,Please tell me how to activate international roaming for Pune,Neutral,standard,2026-08-03 20:06:00
MSG60070,SUB100236,"Third complaint this month about the same billing error, still unresolved",Negative,standard,2026-08-04 09:17:00
MSG60071,SUB103118,"Slow internet, expensive plan, a terrible experience all round",Negative,standard,2026-08-04 06:46:00
MSG60072,SUB102041,Call quality in Bengaluru is unacceptable for what I am paying,Negative,standard,2026-08-01 12:36:00
MSG60073,SUB102347,"Great support today, the agent solved my problem in minutes",Positive,standard,2026-08-01 11:02:00
MSG60074,SUB100839,"Fast internet at a fair price, I am really pleased",Positive,standard,2026-08-03 22:03:00
MSG60075,SUB999999,How do I transfer my number to a new SIM card,Neutral,standard,2026-08-04 00:33:00
MSG60076,SUB101341,I have been overcharged again on my bill and nobody will explain why,Negative,standard,2026-08-02 11:26:00
MSG60077,SUB101544,Can you explain the charges on my last invoice,Neutral,standard,2026-08-05 14:54:00
